"DIRECCION","LOCALIDAD","provincia","NUMERO"
"C/ VERMONDO RESTA, S/N. SEVILLA *Juzgado de lo Contencioso Administrativo Nº4 de Sevilla*","SEVILLA","Sevilla",1
"C/ Sevilla, 23 Juzgado de Primera Instancia e Instrucción Nº1 de Lebrija","LEBRIJA","Sevilla",1
"C/ DOCE DE OCTUBRE, 2 CORDOBA - Juzgado de lo Social Nº1 de Córdoba","CORDOBA","Córdoba",1
"Ctra. de Ronda nº 120 *Fiscalía de Menores de Almería*","ALMERIA","Almería",1
"Avda. de la Buhaira, 26- Juzgado de lo Penal Nº6 de Sevilla","SEVILLA","Sevilla",1
"Ctra. Nacional 340 Nº 204","HUERCAL-OVERA","Almería",1
"AV. VOLTARIE S.N. EDIFICIO APE, 5ª PLANTA","JEREZ DE LA FRONTERA","Cádiz",1
"PLAZA DE ANTONIO PIGAFETTA S/N- Juzgado de Primera Instancia e Instrucción Nº2 de Sanlúcar de Barrameda","SANLUCAR DE BARRAMEDA","Cádiz",1
"Plaza de la Gavidia, 10 Sevilla 41001","SEVILLA","Sevilla",1
"C/ VERMONDO RESTA, S/N. SEVILLA *Juzgado de lo Contencioso Administrativo Nº6 de Sevilla*","SEVILLA","Sevilla",1
"C/ Pontón, 49 LINARES Despacho Médico Forense de Linares","JAEN","Jaén",1
"AVDA. MANUEL AGUSTIN HEREDIA, 26-3ª (Unidad de Proceso de Datos). (ESQ. ALAMEDA DE COLON , 17 ) MALAGA","MALAGA","Málaga",1
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA Fiscalía de Málaga - Sección Civil, Contencioso y Social","MALAGA","Málaga",1
"Charles Darwin, s/n. Isla de La Cartuja.1013 - SEVILLA Informática","SEVILLA","Sevilla",1
"AVENIDA DE LA BUHAIRA 31 SEVILLA-Juzgado de Violencia sobre la Mujer Nº 3 de Sevilla","SEVILLA","Sevilla",1
"PLAZA NUEVA, 10 GRANADA *Tribunal Superior de Justicia de Andalucia, Ceuta y Melilla - Secretaría de Gobierno*","GRANADA","Granada",1
"AVDA. DE CARLOS V, S/N (PRADO DE SAN SEBASTIAN)- Tribunal Superior de Justicia - Sección 1ª de la Sala Contencioso Administrativo de Sevilla","SEVILLA","Sevilla",1
"C/ MENENDEZ PELAYO, 2 SEVILLA Juzgado de Instrucción Nº16 de Sevilla","SEVILLA","Sevilla",1
"C/ DOCE DE OCTUBRE, 2 CORDOBA- Juzgado de lo Social Nº1 de Córdoba","CORDOBA","Córdoba",1
"Ctra. de Ronda nº 120 ALMERIA Juzgado de lo Contencioso Administrativo Nº1 de Almería","ALMERIA","Almería",1
"AVDA ISACC NEWTON, 3 PARQUE TECNOLOGICO DE LA CARTUJA 33","SEVILLA","Sevilla",1
"C/ VERMONDO RESTA, S/N. SEVILLA : Unidad Informática Viapol DP Sevilla","SEVILLA","Sevilla",1
"ARADILLO, 2 - CABRA - EQUIPO EN LA ZONA AUTOGESTION","CABRA","Córdoba",1
"AVDA. MANUEL AGUSTIN HEREDIA, 26 (ESQ. ALAMEDA DE COLON , 17 ) MALAGA Ubicación: - Planta baja. Salario Social (Despacho Lucía)","MALAGA","Málaga",1
"ANGEL GAVINEZ , S/N CORDOBA","CORDOBA","Córdoba",1
"RECINTO INTERIOR ZONA FRANCA, EDIFICIO MELKART 1ª PLANRAM. 2","CADIZ","Cádiz",1
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA *Almacén Informática Ciudad de la Justicia de Málaga*","MALAGA","Málaga",1
"AVDA. DE CARLOS V, S/N (PRADO DE SAN SEBASTIAN) SEVILLA *Fiscalía Provincial de Sevilla (Sede: Audiencia Provincial)*","SEVILLA","Sevilla",1
"AVENIDA ALBERT EINSTEIN S/N, EDIFICIO WORLD TRADE CENTER","SEVILLA","Sevilla",1
"PASAJE BOTICA, 13 - 4º","HUELVA","Huelva",1
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA *Juzgado de lo Social Nº 12 de Málaga","MALAGA","Málaga",1
"GARCIA LORCA S/N","SEVILLA","Sevilla",1
"CALLE CASTELAR, 22 SEVILLA *Delegación Provincial de Sevilla*","SEVILLA","Sevilla",1
"C/ ALAMEDA SUNDHEIM, 28 HUELVA *Juzgado de Instrucción Nº1 de Huelva*","HUELVA","Huelva",1
"C/ OBISPO ALONSO SUAREZ, 1 JAEN *Juzgado de Menores Unico de Jaén","JAEN","Jaén",1
"Plaza Nueva, 8 - Fiscalía Provincial de Granada","GRANADA","Granada",1
"Avda. de la Buhaira, 26.Juzgado de lo Social Nº2 de Sevilla SEVILLA","SEVILLA","Sevilla",1
"C/ MENENDEZ PELAYO, 2 SEVILLA *Juzgado de Instrucción Nº 1 de Sevilla*","SEVILLA","Sevilla",1
"C/ TABLADILLA, S/N 41013 SEVILLA , EDIFICIO 11 6ª PLANTA, *OFICINA PROCESO DE DATOS *","SEVILLA","Sevilla",1
"AVDA. DEL BRILLANTE, 57.14071 CORDOBA CORDOBA *DIRECCIÓN PROVINCIAL DE CÓRDOBA*","CORDOBA","Córdoba",1
"AVENIDA DEL SUR, 1 (telefónica) GRANADA *Juzgado de lo Contencioso Administrativo Nº2 de Granada*","GRANADA","Granada",1
"AV. RAFAEL PEREZ DEL ALAMO, 21 *OFICINA COMARCAL AGRARIA DE LOJA*","LOJA","Granada",1
"ISAAC NEWTON, EDIF. BLUENET ISLA DE LA CARTUJA - SEVILLA","SEVILLA","Sevilla",1
"ALBAREDA 18-20","SEVILLA","Sevilla",1
"PLAZA DE LA CONSTITUCIÓN, 4 *Juzgado de Primera Instancia Nº10 de Córdoba*","CAZORLA","Jaén",1
